size,numberQueries,keyDistribution,valueDistribution,snappy_read_times,simd_read_times,rle_read_times,zlib_read_times,zstandard_read_timesuncompressed_read_times,snappy_load_times,simd_load_times,rle_load_times,zlib_load_times,zstandard_load_times,uncompressed_load_times,snappy_sizes,simd_sizes,rle_sizes,zlib_sizes,zstandard_sizes,uncompressed_sizes,readPercentage,
28860,10000,2,1,0.071413,0.071399,0.071366,0.07139,0.071357,0.071369,0.021053,0.021064,0.021049,0.021642,0.021053,0.021039,0,0,0,0,0,0,50
32467,10000,0,0,0.149138,0.14926,0.149166,0.149146,0.14915,0.149223,0.024651,0.025691,0.024533,0.024325,0.024411,0.024323,0,0,0,0,0,0,100
32467,10000,0,0,0.080001,0.080001,0.079992,0.080045,0.079995,0.079966,0.024424,0.024429,0.024385,0.024327,0.024381,0.024322,0,0,0,0,0,0,50
32467,10000,0,1,0.1492,0.149289,0.149116,0.149303,0.149219,0.149366,0.023677,0.023692,0.023755,0.023807,0.02652,0.023686,0,0,0,0,0,0,100
32467,10000,0,1,0.081277,0.081322,0.081258,0.081326,0.081373,0.081287,0.023808,0.023709,0.02375,0.023746,0.025005,0.023708,0,0,0,0,0,0,50
32467,10000,1,0,0.149499,0.149526,0.149626,0.149585,0.149474,0.149664,0.02214,0.022159,0.022207,0.022166,0.022135,0.022256,0,0,0,0,0,0,100
32467,10000,1,0,0.08049,0.080439,0.080454,0.080364,0.080406,0.080576,0.022373,0.022207,0.022149,0.022211,0.022297,0.022169,0,0,0,0,0,0,50
32467,10000,1,1,0.14894,0.149131,0.148953,0.148926,0.14911,0.149072,0.017607,0.017667,0.017488,0.017433,0.017398,0.017398,0,0,0,0,0,0,100
32467,10000,1,1,0.080043,0.080077,0.080011,0.07999,0.080043,0.08008,0.017493,0.017424,0.017589,0.017431,0.017665,0.017676,0,0,0,0,0,0,50
32467,10000,2,0,0.149093,0.148999,0.148938,0.148979,0.149028,0.148979,0.024344,0.024354,0.024352,0.024412,0.024417,0.024346,0,0,0,0,0,0,100
32467,10000,2,0,0.080452,0.08042,0.080419,0.080412,0.08035,0.080464,0.024364,0.024344,0.024393,0.024336,0.024604,0.024358,0,0,0,0,0,0,50
32467,10000,2,1,0.148575,0.148688,0.148646,0.148605,0.148648,0.148542,0.023655,0.023719,0.024303,0.023678,0.023698,0.02366,0,0,0,0,0,0,100
32467,10000,2,1,0.08168,0.081679,0.081787,0.08165,0.081783,0.081721,0.023688,0.02366,0.023671,0.023649,0.023761,0.023623,0,0,0,0,0,0,50
